"","target","data_type","model","rmse","mae","rsq"
"1","auction_price_ch_de","Predictive","LightGBM",0.679628729515228,0.254911106715438,0.301000572002272
"2","auction_price_ch_de","Predictive","fastTS",0.77498088063269,0.251094511215741,0.188738754885535
"3","auction_price_ch_de","Predictive","GARCH",0.817638634384395,0.262064820794078,0.0814527093535975
"4","auction_price_ch_de","Predictive","NBEATS",0.858869613429325,0.393848461753825,0.0111931157027339
"5","auction_price_ch_de","Predictive","XGBoost",0.904982806784213,0.352674093900341,0.109624989364602
"6","auction_price_ch_de","Predictive","Baseline",1.01084376359607,0.335585464333782,0.0448320124557543
"7","auction_price_ch_de","Predictive","ARIMA",1.56940611133542,0.862095310090023,0.0319481374705311
"8","auction_price_de_ch","Predictive","ARIMA",7.5722252648217,4.70857620824696,0.582901435768739
"9","auction_price_de_ch","Predictive","GARCH",7.95067413916791,5.16085854669556,0.529881770832775
"10","auction_price_de_ch","Predictive","LightGBM",8.01141219061589,4.52465142336091,0.557676059403
"11","auction_price_de_ch","Predictive","NBEATS",9.9057995012846,6.34221445858136,0.295970330936047
"12","auction_price_de_ch","Predictive","Baseline",10.2615164859875,6.63020188425303,0.347431911767615
"13","auction_price_de_ch","Predictive","fastTS",10.782930420056,7.03851914176301,0.450657628035293
"14","auction_price_de_ch","Predictive","XGBoost",11.5546585388441,9.53571291515355,0.414091495219877
"15","auction_price_ch_de","Theoretical","fastTS",0.591845612481148,0.300973004758435,0.567826968610961
"16","auction_price_ch_de","Theoretical","LightGBM",0.671100759397432,0.273664701303969,0.361205337499949
"17","auction_price_ch_de","Theoretical","GARCH",0.817638634384395,0.262064820794078,0.0814527093535975
"18","auction_price_ch_de","Theoretical","NBEATS",0.858336164379307,0.39150682855911,0.0311897189729043
"19","auction_price_ch_de","Theoretical","Baseline",1.01084376359607,0.335585464333782,0.0448320124557543
"20","auction_price_ch_de","Theoretical","ARIMA",1.22639123585447,0.605314779825542,0.342781001427195
"21","auction_price_ch_de","Theoretical","XGBoost",1.29609664660586,0.405371184360609,0.19362705706493
"22","auction_price_de_ch","Theoretical","LightGBM",5.77831529438127,3.58631907111657,0.741287794461747
"23","auction_price_de_ch","Theoretical","ARIMA",6.73927241035716,4.66755571001876,0.717019803158798
"24","auction_price_de_ch","Theoretical","GARCH",7.95067413916791,5.16085854669556,0.529881770832775
"25","auction_price_de_ch","Theoretical","NBEATS",10.0103009766751,6.40393511835883,0.277299651432032
"26","auction_price_de_ch","Theoretical","Baseline",10.2615164859875,6.63020188425303,0.347431911767615
"27","auction_price_de_ch","Theoretical","XGBoost",12.3507589440743,9.76951563131119,0.731892231297938
"28","auction_price_de_ch","Theoretical","fastTS",12.473932536273,7.05789482402846,0.513385634662398
