"","data_type","model","rmse","mae","rsq"
"1","Predictive","LightGBM",10.58320180107,7.94285802956614,0.482097694771397
"2","Predictive","NBEATS",14.375411781076,11.4375686884562,0.136734286558316
"3","Predictive","Baseline",16.112289513017,11.9532301480485,0.137795547362295
"4","Predictive","GARCH",16.5745860227137,12.8389178594159,0.421713066003439
"5","Predictive","fastTS",16.9594029428877,12.5426285244842,0.278610026117596
"6","Predictive","ARIMA",23.182060237744,18.7667905449621,0.202922203075905
"7","Predictive","XGBoost",23.7782942717405,21.0776119594651,0.264340032391646
"8","Theoretical","LightGBM",9.42229444176788,7.09538893369277,0.579687092784951
"9","Theoretical","NBEATS",14.7362242458222,12.0968573685675,0.138103455778739
"10","Theoretical","Baseline",16.112289513017,11.9532301480485,0.137795547362295
"11","Theoretical","GARCH",16.5745860227137,12.8389178594159,0.421713066003439
"12","Theoretical","XGBoost",20.0369369038459,15.1845072613558,0.567189371592013
"13","Theoretical","fastTS",21.3265107792047,15.1253690798601,0.318517798034929
"14","Theoretical","ARIMA",22.7213944535656,17.4639358395354,0.229688103086593
