date,hydro_reservoir_storage_mwh
2021-04-25 22:00:00+00:00,2136963.0
2021-05-02 22:00:00+00:00,2224786.0
2021-05-09 22:00:00+00:00,2369558.0
2021-05-16 22:00:00+00:00,2476447.0
2021-05-23 22:00:00+00:00,2511966.0
2021-05-30 22:00:00+00:00,2665591.0
2021-06-06 22:00:00+00:00,2879527.0
2021-06-13 22:00:00+00:00,3071905.0
2021-06-20 22:00:00+00:00,3311711.0
2021-06-27 22:00:00+00:00,3437892.0
2021-07-04 22:00:00+00:00,3472173.0
2021-07-11 22:00:00+00:00,3594350.0
2021-07-18 22:00:00+00:00,3598387.0
2021-07-25 22:00:00+00:00,3597507.0
2021-08-01 22:00:00+00:00,3622011.0
2021-08-08 22:00:00+00:00,3656351.0
2021-08-15 22:00:00+00:00,3577435.0
2021-08-22 22:00:00+00:00,3444990.0
2021-08-29 22:00:00+00:00,3259127.0
2021-09-05 22:00:00+00:00,3161635.0
2021-09-12 22:00:00+00:00,3099562.0
2021-09-19 22:00:00+00:00,3088420.0
2021-09-26 22:00:00+00:00,3001807.0
2021-10-03 22:00:00+00:00,3108077.0
2021-10-10 22:00:00+00:00,3060785.0
2021-10-17 22:00:00+00:00,2986852.0
2021-10-24 22:00:00+00:00,2932073.0
2021-10-31 23:00:00+00:00,2873496.0
2021-11-07 23:00:00+00:00,2871634.0
2021-11-14 23:00:00+00:00,2779262.0
2021-11-21 23:00:00+00:00,2767351.0
2021-11-28 23:00:00+00:00,2776654.0
2021-12-05 23:00:00+00:00,2831420.0
2021-12-12 23:00:00+00:00,2830287.0
2021-12-19 23:00:00+00:00,2807977.0
2021-12-26 23:00:00+00:00,2650006.0
2022-01-02 23:00:00+00:00,2522113.0
2022-01-09 23:00:00+00:00,2462212.0
2022-01-16 23:00:00+00:00,2388624.0
2022-01-23 23:00:00+00:00,2195808.0
2022-01-30 23:00:00+00:00,2115744.0
2022-02-06 23:00:00+00:00,2034082.0
2022-02-13 23:00:00+00:00,1972757.0
2022-02-20 23:00:00+00:00,2135854.0
2022-02-27 23:00:00+00:00,2078922.0
2022-03-06 23:00:00+00:00,1839557.0
2022-03-13 23:00:00+00:00,1837814.0
2022-03-20 23:00:00+00:00,1850567.0
2022-03-27 22:00:00+00:00,1850487.0
2022-04-03 22:00:00+00:00,1880822.0
2022-04-10 22:00:00+00:00,1910548.0
2022-04-17 22:00:00+00:00,1973753.0
2022-04-24 22:00:00+00:00,2008697.0
2022-05-01 22:00:00+00:00,2063417.0
2022-05-08 22:00:00+00:00,2197607.0
2022-05-15 22:00:00+00:00,2419503.0
2022-05-22 22:00:00+00:00,2576437.0
2022-05-29 22:00:00+00:00,2663424.0
2022-06-05 22:00:00+00:00,2741659.0
2022-06-12 22:00:00+00:00,2719187.0
2022-06-19 22:00:00+00:00,2670227.0
2022-06-26 22:00:00+00:00,2852027.0
2022-07-03 22:00:00+00:00,2681877.0
2022-07-10 22:00:00+00:00,2614979.0
2022-07-17 22:00:00+00:00,2614979.0
2022-07-24 22:00:00+00:00,2377336.0
2022-07-31 22:00:00+00:00,2361321.0
2022-08-07 22:00:00+00:00,2336672.0
2022-08-14 22:00:00+00:00,2341979.0
2022-08-21 22:00:00+00:00,2319283.0
2022-08-28 22:00:00+00:00,2283430.0
2022-09-04 22:00:00+00:00,2287671.0
2022-09-11 22:00:00+00:00,2289541.0
2022-09-18 22:00:00+00:00,2269171.0
2022-09-25 22:00:00+00:00,2222284.0
2022-10-02 22:00:00+00:00,2207775.0
2022-10-09 22:00:00+00:00,2185858.0
2022-10-16 22:00:00+00:00,2217213.0
2022-10-23 22:00:00+00:00,2355750.0
2022-10-30 23:00:00+00:00,2369320.0
2022-11-06 23:00:00+00:00,2340800.0
2022-11-13 23:00:00+00:00,2311316.0
2022-11-20 23:00:00+00:00,2297352.0
2022-11-27 23:00:00+00:00,2270509.0
2022-12-04 23:00:00+00:00,2249585.0
2022-12-11 23:00:00+00:00,2239061.0
2022-12-18 23:00:00+00:00,2265916.0
2022-12-25 23:00:00+00:00,2234005.0
2023-01-01 23:00:00+00:00,2205127.0
2023-01-08 23:00:00+00:00,2202106.0
2023-01-15 23:00:00+00:00,2233303.0
2023-01-22 23:00:00+00:00,2240372.0
2023-01-29 23:00:00+00:00,2247612.0
2023-02-05 23:00:00+00:00,2077650.0
2023-02-12 23:00:00+00:00,2031607.0
2023-02-19 23:00:00+00:00,1987496.0
2023-02-26 23:00:00+00:00,2006272.0
2023-03-05 23:00:00+00:00,1841496.0
2023-03-12 23:00:00+00:00,1864529.0
2023-03-19 23:00:00+00:00,1885022.0
2023-03-26 22:00:00+00:00,1935619.0
2023-04-02 22:00:00+00:00,1974610.0
2023-04-09 22:00:00+00:00,2030668.0
2023-04-16 22:00:00+00:00,2092457.0
2023-04-23 22:00:00+00:00,2174434.0
2023-04-30 22:00:00+00:00,2358161.0
2023-05-07 22:00:00+00:00,2524475.0
2023-05-14 22:00:00+00:00,2689166.0
2023-05-21 22:00:00+00:00,2888296.0
2023-05-28 22:00:00+00:00,3122609.0
2023-06-04 22:00:00+00:00,3293271.0
2023-06-11 22:00:00+00:00,3440806.0
2023-06-18 22:00:00+00:00,3602877.0
2023-06-25 22:00:00+00:00,3689398.0
2023-07-02 22:00:00+00:00,3726987.0
2023-07-09 22:00:00+00:00,3802050.0
2023-07-16 22:00:00+00:00,3755194.0
2023-07-23 22:00:00+00:00,3726084.0
2023-07-30 22:00:00+00:00,3645141.0
2023-08-06 22:00:00+00:00,3529389.0
2023-08-13 22:00:00+00:00,3481729.0
2023-08-20 22:00:00+00:00,3450786.0
2023-08-27 22:00:00+00:00,3534188.0
2023-09-03 22:00:00+00:00,3457214.0
2023-09-10 22:00:00+00:00,3365511.0
2023-09-17 22:00:00+00:00,3433155.0
2023-09-24 22:00:00+00:00,3401435.0
2023-10-01 22:00:00+00:00,3336157.0
2023-10-08 22:00:00+00:00,3276952.0
2023-10-15 22:00:00+00:00,3391787.0
2023-10-22 22:00:00+00:00,3494647.0
2023-10-29 23:00:00+00:00,3663559.0
2023-11-05 23:00:00+00:00,3598085.0
