column
date
auction_price_ch_de
auction_price_de_ch
allocatedCapacity_ch_de
allocatedCapacity_de_ch
dst
day_ahead_price_at
day_ahead_price_ch
day_ahead_price_de
day_ahead_price_fr
day_ahead_price_it
actual_load_at
actual_load_de
biomass_actual_aggregated_at
biomass_actual_aggregated_de
fossil_brown_coal_lignite_actual_aggregated_de
fossil_gas_actual_aggregated_at
fossil_gas_actual_aggregated_de
fossil_hard_coal_actual_aggregated_at
fossil_hard_coal_actual_aggregated_de
fossil_oil_actual_aggregated_de
geothermal_actual_aggregated_de
hydro_pumped_storage_actual_aggregated_at
hydro_pumped_storage_actual_aggregated_de
hydro_pumped_storage_actual_aggregated_fr
hydro_pumped_storage_actual_consumption_at
hydro_pumped_storage_actual_consumption_de
hydro_pumped_storage_actual_consumption_fr
hydro_run-of-river_and_poundage_actual_aggregated_at
hydro_run-of-river_and_poundage_actual_aggregated_de
hydro_water_reservoir_actual_aggregated_at
hydro_water_reservoir_actual_aggregated_de
other_actual_aggregated_de
other_renewable_actual_aggregated_de
solar_actual_aggregated_at
solar_actual_aggregated_de
waste_actual_aggregated_de
wind_offshore_actual_aggregated_de
wind_onshore_actual_aggregated_at
wind_onshore_actual_aggregated_de
cal_year
cal_month
cal_day_in_month
cal_day_in_week
cal_week_in_year
cal_quarter
cal_hour_in_day
actual_load_ch
actual_load_fr
actual_load_it
biomass_actual_aggregated_fr
biomass_actual_aggregated_it
capacity_forecast_at_ch
capacity_forecast_ch_at
capacity_forecast_ch_de_lu
capacity_forecast_ch_fr
capacity_forecast_ch_it
capacity_forecast_de_lu_ch
capacity_forecast_FR_CH
capacity_forecast_it_ch
crossborder_actual_flow_at_ch
crossborder_actual_flow_ch_at
crossborder_actual_flow_ch_de_lu
crossborder_actual_flow_ch_fr
crossborder_actual_flow_ch_it
crossborder_actual_flow_de_lu_ch
crossborder_actual_flow_fr_ch
crossborder_actual_flow_it_ch
fossil_coal-derived_gas_actual_aggregated_it
fossil_gas_actual_aggregated_fr
fossil_gas_actual_aggregated_it
fossil_hard_coal_actual_aggregated_fr
fossil_hard_coal_actual_aggregated_it
fossil_oil_actual_aggregated_fr
fossil_oil_actual_aggregated_it
geothermal_actual_aggregated_it
hydro_pumped_storage_actual_aggregated_it
hydro_pumped_storage_actual_consumption_it
hydro_pumped_storage_ch
hydro_reservoir_storage_at
hydro_reservoir_storage_ch
hydro_reservoir_storage_fr
hydro_reservoir_storage_it
hydro_run-of-river_and_poundage_actual_aggregated_fr
hydro_run-of-river_and_poundage_actual_aggregated_it
hydro_run-of-river_and_poundage_ch
hydro_water_reservoir_actual_aggregated_fr
hydro_water_reservoir_actual_aggregated_it
hydro_water_reservoir_ch
nuclear_actual_aggregated_de
nuclear_actual_aggregated_fr
nuclear_ch
other_actual_aggregated_it
solar_actual_aggregated_fr
solar_actual_aggregated_it
solar_ch
solar_forecast_de
waste_actual_aggregated_fr
waste_actual_aggregated_it
wind_onshore_actual_aggregated_fr
wind_onshore_actual_aggregated_it
wind_onshore_ch
wind_onshore_forecast_fr
actual_load_fr_missing_dummy
fossil_coal-derived_gas_actual_aggregated_it_missing_dummy
fossil_hard_coal_actual_aggregated_fr_missing_dummy
fossil_oil_actual_aggregated_it_missing_dummy
hydro_pumped_storage_actual_aggregated_it_missing_dummy
hydro_pumped_storage_actual_consumption_it_missing_dummy
hydro_reservoir_storage_fr_missing_dummy
hydro_reservoir_storage_it_missing_dummy
hydro_water_reservoir_actual_aggregated_fr_missing_dummy
hydro_water_reservoir_actual_aggregated_it_missing_dummy
nuclear_actual_aggregated_de_missing_dummy
other_actual_aggregated_it_missing_dummy
solar_forecast_de_missing_dummy
wind_onshore_forecast_fr_missing_dummy
g1_dummy
g2_dummy
g3_dummy
