"x"
"date"
"auction_price"
"allocatedCapacity"
"ATC"
"dst"
"day_ahead_price"
"actual_load"
"biomass_actual_aggregated"
"fossil_gas_actual_aggregated"
"fossil_hard_coal_actual_aggregated"
"hydro_pumped_storage_actual_aggregated"
"hydro_pumped_storage_actual_consumption"
"hydro_run.of.river_and_poundage_actual_aggregated"
"hydro_water_reservoir_actual_aggregated"
"solar_actual_aggregated"
"wind_onshore_actual_aggregated"
"fossil_brown_coal_lignite_actual_aggregated"
"fossil_oil_actual_aggregated"
"geothermal_actual_aggregated"
"other_actual_aggregated"
"other_renewable_actual_aggregated"
"waste_actual_aggregated"
"wind_offshore_actual_aggregated"
"solar_forecast"
"wind_onshore_forecast"
"hydro_pumped_storage"
"hydro_run.of.river_and_poundage"
"hydro_water_reservoir"
"nuclear"
"solar"
"wind_onshore"
"nuclear_actual_aggregated"
"fossil_coal.derived_gas_actual_aggregated"
"hydro_reservoir_storage"
"crossborder_actual_flow"
"capacity_forecast"
